1,1,08:10-09:00
2,2,09:05-09:55
3,3,10:05-10:55
4,4,11:00-11:50
5,N,12:00-13:10
6,5,13:20-14:10
7,6,14:15-15:05
8,7,15:15-16:05
9,8,16:10-17:00
10,9,17:10-18:00
